id,city,latitude,longitude,country,description,temp,temp_min,temp_max,feels_like,humidity,wind_speed
785842,Skopje,41.9961,21.4316,MK,broken clouds,12.9,12.9,12.9,12.39,82,1.03
729519,Ladzhene,42.0,24.0,BG,overcast clouds,7.44,7.44,7.44,6.83,89,1.42
749841,Çamlıhemşin,41.0,41.0,TR,overcast clouds,8.78,8.78,8.78,7.36,62,2.52
1861060,Japan,35.687,139.7495,JP,clear sky,14.85,13.21,15.89,13.93,59,7.72
1631845,Pecenongan,-6.175,106.8275,ID,scattered clouds,26.88,25.59,27.13,29.48,80,5.14
1261481,New Delhi,28.61,77.23,IN,clear sky,24.39,24.39,24.39,23.22,13,2.9
1809858,Guangzhou,23.13,113.26,CN,overcast clouds,23.92,23.92,23.92,24.14,68,2.04
8131499,Konkan Division,19.0761,72.8775,IN,haze,28.0,28.0,28.0,30.54,69,3.09
1688216,Santa Cruz,14.5958,120.9772,PH,scattered clouds,28.41,27.81,28.97,34.08,85,2.29
1796231,Shanghai Municipality,31.2286,121.4747,CN,light rain,18.88,18.88,18.88,18.96,82,1.0
3458611,Liberdade,-23.5504,-46.6339,BR,overcast clouds,19.33,18.69,20.15,19.09,68,5.66
1835848,Seoul,37.5667,126.9833,KR,mist,7.77,7.77,7.79,7.77,100,1.03
3530597,Mexico City,19.4333,-99.1333,MX,clear sky,13.94,13.94,13.94,12.62,47,3.09
