MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,Extract_date,owner_company,nr_of_episodes,DIRECTOR,STARS-LIST
Blood Red Sky,(2021),"
Action, Horror, Thriller            ",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","21,062",121.0,,2020-01-01 00:00:00.000000000,  Columbia Pictures	,109.0,"Director:
Peter Thorwarth",
,,,,,,,,2020-01-01 00:25:41.336487285,20th Century Fox	,75.0,,
,,,,,,,,2020-01-01 00:51:22.672974571,Marvel Studios,72.0,,
,,,,,,,,2020-01-01 01:17:04.009461856,Universal Pictures	,118.0,,
,,,,,,,,2020-01-01 01:42:45.345949142,  Columbia Pictures	,142.0,,
,,,,,,,,2020-01-01 02:08:26.682436428, Legendary Entertainment	,115.0,,
,,,,,,,,2020-01-01 02:34:08.018923713,Relativity Media,81.0,,
,,,,,,,,2020-01-01 02:59:49.355410999,  Paramount Pictures,74.0,,
,,,,,,,,2020-01-01 03:25:30.691898285,Marvel Studios,79.0,,
,,,,,,,,2020-01-01 03:51:12.028385570,  Columbia Pictures	,115.0,,
Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5.0,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","17,870",25.0,,2020-01-01 04:16:53.364872856,  Columbia Pictures	,20.0,,"Stars:
Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill"
The Walking Dead,(2010–2022),"
Drama, Horror, Thriller            ",8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","885,805",44.0,,2020-01-01 04:42:34.701360141, Legendary Entertainment	,80.0,,"Stars:
Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan"
Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","414,849",23.0,,2020-01-01 05:08:16.037847427,Universal Pictures	,14.0,,"Stars:
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke"
Army of Thieves,(2021),"
Action, Crime, Horror            ",,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",,,,2020-01-01 05:33:57.374334713,  Paramount Pictures,18.0,"Director:
Matthias Schweighöfer",
Outer Banks,(2020– ),"
Action, Crime, Drama            ",7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.","25,858",50.0,,2020-01-01 05:59:38.710821998,   Walt Disney Pictures	,140.0,,"Stars:
Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss"
,,,,,,,,2020-01-01 06:25:20.047309284,Universal Pictures	,73.0,,
,,,,,,,,2020-01-01 06:51:01.383796570,  Columbia Pictures	,85.0,,
,,,,,,,,2020-01-01 07:16:42.720283855,	Warner Bros.  ,123.0,,
,,,,,,,,2020-01-01 07:42:24.056771141,Universal Pictures	,140.0,,
,,,,,,,,2020-01-01 08:08:05.393258426,  Paramount Pictures,86.0,,
,,,,,,,,2020-01-01 08:33:46.729745712,20th Century Fox	,13.0,,
,,,,,,,,2020-01-01 08:59:28.066232998, Legendary Entertainment	,47.0,,
,,,,,,,,2020-01-01 09:25:09.402720283,20th Century Fox	,89.0,,
,,,,,,,,2020-01-01 09:50:50.739207569,Relativity Media,2.0,,
,,,,,,,,2020-01-01 10:16:32.075694855,  Paramount Pictures,122.0,,
,,,,,,,,2020-01-01 10:42:13.412182140,20th Century Fox	,2.0,,
,,,,,,,,2020-01-01 11:07:54.748669426,    RatPac-Dune Entertainment	,15.0,,
,,,,,,,,2020-01-01 11:33:36.085156712,   Walt Disney Pictures	,70.0,,
,,,,,,,,2020-01-01 11:59:17.421643997,   Walt Disney Pictures	,15.0,,
,,,,,,,,2020-01-01 12:24:58.758131283,  Columbia Pictures	,138.0,,
,,,,,,,,2020-01-01 12:50:40.094618568,   Walt Disney Pictures	,1.0,,
,,,,,,,,2020-01-01 13:16:21.431105854,  Paramount Pictures,88.0,,
,,,,,,,,2020-01-01 13:42:02.767593140,  Columbia Pictures	,124.0,,
,,,,,,,,2020-01-01 14:07:44.104080425,  Paramount Pictures,13.0,,
The Last Letter from Your Lover,(2021),"
Drama, Romance            ",6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.","5,283",110.0,,2020-01-01 14:33:25.440567711,Marvel Studios,77.0,"Director:
Augustine Frizzell",
Dexter,(2006–2013),"
Crime, Drama, Mystery            ",8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","665,387",53.0,,2020-01-01 14:59:06.777054997,  Paramount Pictures,102.0,,"Stars:
Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar"
Never Have I Ever,(2020– ),"
Comedy            ",7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","34,530",30.0,,2020-01-01 15:24:48.113542282,Universal Pictures	,59.0,,"Stars:
Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe"
Virgin River,(2019– ),"
Drama, Romance            ",7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","27,279",44.0,,2020-01-01 15:50:29.450029568, Legendary Entertainment	,51.0,,"Stars:
Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson"
Gunpowder Milkshake,(2021),"
Action, Adventure, Thriller            ",6.0,"
Three generations of women fight back against those who could take everything from them.","17,989",114.0,,2020-01-01 16:16:10.786516853,20th Century Fox	,8.0,"Director:
Navot Papushado",
Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","264,222",42.0,,2020-01-01 16:41:52.123004139,Marvel Studios,8.0,,"Stars:
Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside"
Fear Street: 1994,(2021),"
Drama, Horror, Mystery            ",6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.","50,148",107.0,,2020-01-01 17:07:33.459491425,Relativity Media,7.0,"Director:
Leigh Janiak",
,,,,,,,,2020-01-01 17:33:14.795978710,Relativity Media,85.0,,
,,,,,,,,2020-01-01 17:58:56.132465996,   Walt Disney Pictures	,95.0,,
,,,,,,,,2020-01-01 18:24:37.468953282,  Paramount Pictures,58.0,,
,,,,,,,,2020-01-01 18:50:18.805440567,  Paramount Pictures,97.0,,
,,,,,,,,2020-01-01 19:16:00.141927853,Universal Pictures	,126.0,,
,,,,,,,,2020-01-01 19:41:41.478415138,    RatPac-Dune Entertainment	,82.0,,
,,,,,,,,2020-01-01 20:07:22.814902424,    RatPac-Dune Entertainment	,19.0,,
