DimDirector
Director:Peter Thorwarth
"Stars:Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill"
"Stars:Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan"
"Stars:Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
Director:Matthias Schweighöfer
"Stars:Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss"
Director:Augustine Frizzell
"Stars:Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar"
"Stars:Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe"
"Stars:Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson"
Director:Navot Papushado
"Stars:Tom Ellis, Lesley-Ann Brandt, Lauren German, D.B. Woodside"
Director:Leigh Janiak
"Stars:Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette"
"Stars:Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson"
"Stars:Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers"
"Stars:Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
"Stars:Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas"
"Stars:Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport"
"Stars:Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
"Stars:Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
"Stars:Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes"
"Stars:Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle"
""
Director:Danila Kozlovskiy
"Stars:Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst"
"Stars:Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian"
"Stars:Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins"
"Stars:James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold"
"Stars:Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole"
"Stars:Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
"Stars:Mark Harmon, David McCallum, Sean Murray, Pauley Perrette"
"Stars:Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Hye-jun Kim"
"Stars:Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell"
"Stars:Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter"
"Stars:Henry Cavill, Anna Shaffer, Freya Allan, Adjoa Andoh"
"Stars:Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle"
"Stars:Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa"
"Stars:Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
"Stars:Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso"
"Stars:Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy"
"Stars:Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton"
"Stars:Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady"
"Stars:Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones"
"Stars:Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner"
"Stars:Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith"
"Stars:Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen"
Director:Zack Snyder
"Stars:Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
"Stars:Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
"Stars:Joel McHale, Danny Pudi, Donald Glover, Chevy Chase"
"Stars:Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
"Stars:Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza"
"Stars:Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham"
"Directors:Barbara Bialowas, Tomasz Mandes"
"Stars:Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung"
"Stars:Christina Hendricks, Retta, Mae Whitman, Reno Wilson"
"Stars:Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe"
"Stars:Anya Taylor-Joy, Chloe Pirrie, Bill Camp, Marcin Dorocinski"
"Stars:Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano"
"Stars:Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
Director:David Charhon
Director:Steven K. Tsuchida
"Stars:Katja Herbers, Mike Colter, Aasif Mandvi, Maddy Crocco"
"Stars:Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo"
